CountryID,Year,CountryName,Region,IncomeLevel,FDINet,FDIInflowstoGDP,FDIInflows,FDIOutflowsPercent,FDIOutflows,GDP,GDPGrowth,GrossNationalSpending,InflationConsumerPrices,InflationRate,InflationPercent,GoodsNetTrade,GoodsandServicesNetTrade,TradePercent,ServicesTradedPercent,GovernmentSpendingToGDP,GovernmentSpendingAnnualGrowth,GovernmentSpending,GovernmentEducationSpendingToGDP,GovernmentEducationSpendingToTotalSpending,GovernmentMilitarySpendingToGDP,GovernmentMilitarySpendingToTotalSpending,GovernmentMilitarySpending,ElectricityAccess,AgriculturalCarbonDioxide,TransportCarbonDioxide,WasteCarbonDioxide,ForestArea,RenewableEnergyConsumption,TotalGreenhouseGas,LongTermExternalDebt,TotalPSD,LongTermPSD,ShortTermPSD,InterestPaymentsPercent,ExternalDebt,TotalDebt,FemaleLifeExpectancy,MaleLifeExpectancy,TotalLifeExpectancy,AdultLiteracyRate,YouthLiteracyRate,BasicDrinkingWater,SafelyManagedDrinkingWater,BasicHandwashing,PovertyRatio,NationalPovertyRatio,SocialPovertyRatio,UnemploymentwithAdvancedEducation,UnemploymentwithBasicEducation,UnemploymentWithintermediateEducation,TotalUnemployment,YouthUnemployment,ExchangeRate
ATG,2021,Antigua and Barbuda,Latin America & Caribbean,High income,-305309835.5,18.1006036,289857032.5,-0.964975937,-15452803,1601366667,8.191718462,,2.062996385,4.913760578,4.913760578,-474681104.1,-167083972.7,101.1228835,62.61448152,,,,2.574648857,6.859994888,,,,100,,0.104,,18.30295455,0.9,4.017368894,,,,,,,,80.941,75.775,78.497,,,98.36495728,,,,,,,,,,,2.7
AUS,2021,Australia,East Asia & Pacific,High income,-24337208093,2.024681946,31518948093,0.461333268,7181740000,1.56E+12,2.111168148,1.50E+12,2.863910422,3.07994986,3.07994986,85887678263,89608648118,40.30248027,5.546875831,22.42271872,6.567264659,34962482975,5.333299915,13.14539528,1.992782212,4.726654664,3271866817,100,3.2157,87.607,0.0157,17.42131456,12.3,22.60963538,,2.27E+12,1.68E+12,5.86E+11,2.57,,,85.4,81.3,83.3,,,99.96977467,,,,,,3.324,9.674,5.328,5.023,11.156,1.33122426
AUT,2021,Austria,Europe & Central Asia,High income,10092244104,3.954093238,18998114634,6.054600311,29090358738,4.80E+11,4.795329106,4.76E+11,2.766666667,1.926129109,1.926129109,113749355.1,3788251303,111.0322687,28.77195351,21.73176561,7.5318849,144139741.8,5.494111742,8.811378479,0.873694137,1.558656617,4196428571,100,0.0449,22.334,0.0008,47.1720795,36,9.013625476,,,,,2.26,,,83.7,78.8,81.1902439,,,100,98.89854282,,0.7,14.8,12.5,4.138,14.347,6.045,6.459,12.037,0.845494139
AZE,2021,Azerbaijan,Europe & Central Asia,Upper middle income,1784653000,-3.114734473,-1707666000,0.14042211,76987000,54825411765,5.616451029,45674705882,6.650299127,21.58882419,21.58882419,11273613000,9062113327,76.28686569,17.9016723,13.86744232,,762882352.9,3.728113678,1.788627625,4.935174713,15.27319862,27317647.59,100,0.1326,7.6891,0.0024,13.83299093,1.3,5.621188133,14907605528,,,,2.47,,4,73.287,65.646,69.366,,,97.00710207,71.14634824,,,,,5.46,13.06,5.49,6.04,14.56,1.7
BDI,2021,Burundi,Sub-Saharan Africa,Low income,-21243431.07,0.806162274,22377441.91,0.040853497,1134010.836,2775798697,3.099999999,3298150717,8.404538451,8.516719715,8.516719715,-685307104.8,-863533501.3,28.81866,14.28927554,3.77247,2.947585466,854181821.4,4.871141916,2.438539555,2.439763299,6.724939523,68376397.14,10.2,,0.4338,,10.8894081,83.1,0.527199878,575775997.1,,,,3.33,,1.07,63.609,59.711,61.663,,,62.32256445,,6.248694457,,,,,,,,,1975.950881
BEL,2021,Belgium,Europe & Central Asia,High income,23371946828,5.90607721,35347519889,9.81120331,58719466717,5.98E+11,6.202554016,5.87E+11,2.440248511,2.742635595,2.742635595,12918983021,11377868174,177.3903054,45.67266214,23.84764613,5.175633114,1.42686E+11,6.355519772,11.31968214,1.387266267,1.894722915,6239356670,100,0.0365,22.9232,0.0026,22.60444678,11.7,10.33580912,,,,,3.48,,,84.3,79.4,81.7902439,,,100,99.73113433,,0.7,13.2,9.2,3.309,13.661,6.984,6.248,18.209,0.845494139
BEN,2021,Benin,Sub-Saharan Africa,Lower middle income,-303083098.3,1.955814597,345985235.7,0.24252083,42902137.42,17690083520,7.155451646,18789919969,1.733539627,1.618725067,1.618725067,-352382188.6,-771728221.1,48.05486083,8.154367622,1.759645343,8.517254773,1782446542,3.234842968,15.28315258,0.558836489,2.774543577,97424488.9,42,,4.239,0.0004,27.36032281,54.5,1.194222173,7882427461,,,,,,4.41,61.445,58.221,59.821,43.8341713,65.3227005,67.12590915,,12.08159587,45.4,,33.5,,,,,,554.6077989
BFA,2021,Burkina Faso,Sub-Saharan Africa,Low income,36838054.5,-0.405926078,-79957355.34,-0.218907299,-43119300.84,19697516284,6.942524926,19072358803,3.653532872,0.112863113,0.112863113,1259049368,398785467.8,62.42035866,10.00787031,2.247984524,18.11862779,3988349247,5.22415236,21.39246559,2.322656672,8.368536796,45827998.44,19,,2.6805,,22.5380117,71.2,1.529626201,9709646104,,,,9.7,,2.65,60.99,57.474,59.27,36.96738052,62.66986084,49.02263051,,9.082437627,53,43.2,40.5,,,,,,554.530675
BGD,2021,Bangladesh,South Asia,Lower middle income,-1640672069,0.414118154,1723856464,0.0199832,83184395.32,4.16E+11,6.938679124,4.40E+11,5.545654308,4.121174707,4.121174707,-32616728177,-36008206263,27.7240047,4.405907285,5.882748688,6.877224787,2448821495,1.831179976,1.221329861,1.168736166,9.129388686,4849929470,99,2.5674,11.6004,,14.46877161,25,1.606900522,70088387624,1.97E+11,1.56E+11,41092999614,24.03,,1.3,74.267,70.599,72.381,76,95,98.03301971,59.1298464,61.65072984,,,,,,,,,85.08376325
BGR,2021,Bulgaria,Europe & Central Asia,High income,-1344780000,2.766354745,2335300000,1.173340486,990510000,84417951261,7.780614814,82321043115,3.297744353,6.966624339,6.966624339,-3378710000,2125980000,121.1573546,20.67225008,18.88518644,0.494882225,1594248715,4.733299939,1.561671257,1.517498958,3.936681577,127524489.6,99.8,0.8412,9.6151,0.0025,35.98010317,20.4,8.728139449,,,,,1.21,,,75.1,68,71.46341463,98.41999817,98.05999756,99.08929849,95.81034352,,1.3,22.9,15.8,2.096,14.067,5.216,5.267,15.829,1.653775
BHR,2021,Bahrain,Middle East & North Africa,High income,-1714893617,4.356625979,1779255319,0.157593944,64361702.13,40840212766,4.350040917,33183031915,-0.606319385,9.208402636,9.208402636,4905053191,7657180851,153.7993165,58.31236422,15.28336589,7.421156292,621111721.3,2.221358684,9.858261871,3.553882997,11.44144589,1381382979,100,,3.5027,,0.911392405,,42.13591781,,,,,,,,80.018,77.757,78.76,,,99.91989902,98.90397556,,,,,,,,,,0.376
BHS,2021,"Bahamas, The",Latin America & Caribbean,High income,-298391476.2,3.369409346,383064779.1,0.744780083,84673302.9,11368900000,15.40314894,12498200000,2.904912629,-1.071837447,-1.071837447,-2625629986,-1617321175,72.95156084,38.47488808,14.78771333,-3.814655777,16812,3.693249725,12.28226282,,,,100,,0.5414,0.0009,50.93506494,1.1,4.916581099,,,,,14.23,,,75.096,68.121,71.598,,,,,,,,,,,,,,1
BIH,2021,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,-675995143,3.242308168,767542282.7,0.386720114,91547139.65,23672712242,7.38996234,26892352834,1.981639006,4.964604416,4.964604416,-4326235354,-2622901991,96.48590858,13.4449504,19.41525744,2.861741419,4592866136,4.136229992,1.377794515,0.742576775,1.868227648,175574365.2,100,0.0053,4.1802,0.0038,42.73261719,36.6,9.3311457,10105629935,,,,1.6,,6.38,77.53,73.108,75.3,,,96.10382253,87.5547838,,,,,11.992,16.737,15.621,14.897,35.073,1.653606154
BLR,2021,Belarus,Europe & Central Asia,Upper middle income,-1309906223,1.766406879,1230721862,-0.113650212,-79184361.45,69673747132,2.438862124,64147242164,9.460283896,15.32641964,15.32641964,-666800000,3950314057,136.0144506,22.97714896,16.81615468,-0.711557179,1171634895,4.664126553,12.36244392,1.365289266,37.62948766,951238823.2,100,0.4772,10.3895,0.014,43.27223454,8.2,9.534468108,29858918417,,,,4.94,,6.47,77.697,67.298,72.37068293,,,99.18791665,93.01940273,,,4.1,,2.24,11.071,4.6,3.9,10.505,2.538675
BLZ,2021,Belize,Latin America & Caribbean,Upper middle income,-123958318.8,5.184585867,125495493.2,0.063505168,1537174.347,2420550000,17.74617012,2455000000,3.235636592,0.630768469,0.630768469,-533962804.3,-206457407,99.3162711,37.76961654,16.69421598,16.5615142,44,5.948797339,17.95356941,1.717444832,4.27254,2673375,97.7,,0.0818,,55.49715037,26.6,2.195798111,1380903826,,,,,,26.4,74.332,67.119,70.47,,,98.40350771,,90.28155612,,,,,,,,,2
BMU,2021,Bermuda,North America,High income,-76457682.88,0.681739689,49675691.88,-0.367550919,-26781991,7286607000,5.41909484,5267574000,,0.36140003,0.36140003,-1075954953,-789315041.1,72.20267266,26.98382502,12.33147335,0.671559635,898546,1.884916916,,,,,100,,0.1128,,18.51851852,0.9,5.562430392,,,,,,,,82.708,75.817,79.28,,,99.90314002,,,,,,,,,,,1
BOL,2021,Bolivia,Latin America & Caribbean,Lower middle income,-492246695,1.444277611,583576424.7,0.226029494,91329729.73,40406111695,6.111372752,41768082419,0.737383721,3.95611964,3.95611964,2929628299,1407479875,59.02139656,5.98770064,19.33698457,5.389262546,7813323582,7.962159689,23.14578563,1.325799438,3.854658749,536247233.2,98.6,,11.1754,0.0025,46.72830546,12.8,4.365161141,14714482256,,,,,,4.15,66.8,60.879,63.63,,99.51999664,93.60317892,,26.96183976,4.5,36.4,23,8.208,3.343,6.782,5.089,8.291,6.91
BRA,2021,Brazil,Latin America & Caribbean,Upper middle income,-30201173400,2.779790849,46440503520,0.972038153,16239330120,1.67E+12,4.762604379,1.66E+12,8.301659756,13.04727088,13.04727088,42312115283,15355119391,37.65633076,5.382383006,18.54758836,4.172616736,398648255.4,5.496981928,12.82462341,1.163682117,2.675633427,19187122475,99.5,12.832,200.1659,0.2965,59.2705275,46.5,6.177569476,4.74E+11,,,,20.58,,10,76.009,69.56,72.75,,99.27999878,99.5894011,86.64403312,,,,28.9,7.523,16.28,15.041,13.159,28.299,5.39440079
BRB,2021,Barbados,Latin America & Caribbean,High income,,0.334854777,17664400,0.334854777,17664400,5275242050,-0.25496588,,,2.329218751,2.329218751,,,,,,,,4.863697982,14.84473377,,,,100,,0.2268,,14.65116279,5.5,3.364912616,,,,,,,,79.359,75.629,77.571,,,98.51445042,,,,,,5.086,12.487,13.024,11.015,28.36,2
BRN,2021,Brunei Darussalam,East Asia & Pacific,High income,-204749379.8,1.461817223,204749379.8,,,14006496614,-1.590762481,11007913420,1.733413885,15.46592844,15.46592844,2679198448,1982721410,147.1231127,7.83374471,22.46759154,2.582739891,3146847858,,,3.236367483,11.51342525,453337798.6,100,,1.1522,0.0018,72.10626186,,27.3007011,,,,,,,,76.881,72.602,74.642,97.58999634,99.76999664,99.90004922,,,,,,3.918,7.384,4.863,4.905,16.335,1.343806963
BTN,2021,Bhutan,South Asia,Lower middle income,-6783112.488,0.244983575,6783112.488,,,2768802960,4.421367402,3299996891,7.346814405,7.628013387,7.628013387,-170995068.8,-287001900.6,77.58244832,5.645581212,22.67222515,6.369176929,62774924.87,6.598386288,15.79781647,,,,100,,0.3861,,71.50131096,81.8,4.109914088,3230164538,,,,,,5.05,73.773,70.141,71.815,,,99.12699463,72.66556687,93.24870149,,,,11.473,5.102,14.305,4.804,20.932,73.91801282
BWA,2021,Botswana,Sub-Saharan Africa,Upper middle income,286135721.8,-1.701545337,-319055857.6,-0.175565194,-32920135.8,18750946600,11.92063651,19162550254,7.240977656,8.381449724,8.381449724,-643666711.5,-1389094979,88.75513142,8.555686458,31.52924153,3.974114883,591231153.2,,,3.455693243,8.665969273,536634.9548,73.7,,2.1557,,26.70830907,27.4,4.808612829,1496573925,,,,1.97,,0.86,63.594,58.691,61.141,,,92.44851614,,,,,,14.207,27.22,29.354,23.106,44.948,11.08725833
CAF,2021,Central African Republic,Sub-Saharan Africa,Low income,,,,,,2516498412,0.982919996,3204641950,4.259364175,3.185766469,3.185766469,,,44.15912,,9.14753415,-4.732444732,2326828.723,1.872516875,9.886917114,2.153214594,1.923927491,5551512.969,15.7,,0.1702,,35.7523516,90.9,2.469982982,438633642,,,,5.17,,0.66,56.303,51.645,53.895,,,36.19738081,6.083897945,22.06642138,,68.8,65.7,,,,,,554.530675
CAN,2021,Canada,North America,High income,44529089000,2.945251489,59125104307,5.163418665,1.04E+11,2.01E+12,5.286956891,2.01E+12,3.395193185,7.664865423,7.664865423,1927675054,117851617.8,62.42416441,11.92534774,21.44233714,5.396393172,4344895323,4.748661352,11.54688454,1.267294465,2.763643924,2536224829,100,3.694,156.9292,0.1143,39.47012793,23.8,19.04473039,,3.25E+12,,,4.4,,,84.02,79.27,81.58707317,,,99.22198864,99.03932083,,,,,5.944,14.532,9.976,7.527,13.541,1.253876902
CHE,2021,Switzerland,Europe & Central Asia,High income,19233284451,-14.40917904,-1.17E+11,-12.04465031,-97972244012,8.13E+11,5.391888041,7.13E+11,0.581814168,1.246191967,1.246191967,1.16E+11,97331329894,130.2561628,36.87311029,11.94382258,3.318999997,9715212424,5.378982468,14.58775549,0.674464698,1.95618245,5485229759,100,0.0431,14.6239,0.0088,32.20860332,27.7,5.368631517,,,,,0.58,,,85.8,81.8,83.75121951,,,100,96.70000007,,,15.8,,3.334,9.348,5.106,5.013,8.318,0.913845833
CHI,2021,Channel Islands,Europe & Central Asia,High income,,,,,,11157002973,9.936801364,,,0.216840096,0.216840096,,,,,,,,,,,,,100,,,,5.151515152,,,,,,,,,,83.355,79.115,81.232,,,,,,,,,,,,,,0.727064945
CHL,2021,Chile,Latin America & Caribbean,High income,-603863144.8,4.810199707,15176902319,4.618810037,14573039174,3.16E+11,11.33395707,3.18E+11,4.524568383,6.914755885,6.914755885,10305307876,-2188473339,64.83844725,7.664158842,14.72846244,14.12357365,464751453.1,4.999239922,14.88119592,1.641876189,4.93816127,519459174.3,100,0.3692,27.8142,0.0083,24.65747271,24.2,6.439589287,,,,,2.78,,,81.437,76.472,78.944,,,100,98.77136764,,,,,7.886,9.512,9.989,9.281,20.474,758.9553787
CHN,2021,China,East Asia & Pacific,Upper middle income,-1.65E+11,1.930786223,3.44E+11,1.003328449,1.79E+11,1.78E+13,8.448469417,1.73E+13,0.981015136,4.552326579,4.552326579,5.63E+11,4.61E+11,37.30199087,4.376980703,15.88138442,,28178293392,3.988325119,1.853179552,1.652597184,4.928817962,2859351857,100,15.9153,969.4479,3.4822,23.63152827,15.2,10.74486611,1.23E+12,,,,,,1.91,81.155,75.463,78.211,,,96.69444916,,97.17535983,,,19,,,,5.11,14.25,6.44897518
CIV,2021,C?te d?Ivoire,Sub-Saharan Africa,Lower middle income,-1107222121,1.912826559,1392435143,0.391804995,285213022.7,72794636654,7.063329102,73174258575,4.091951897,3.930131375,3.930131375,3053241707,39662854.48,45.11403278,6.64061389,9.962659467,6.178994644,725228176.2,3.327189922,16.26627923,0.91633113,4.283741885,637656912.8,71.1,0.1221,5.0343,,8.565492767,58.2,1.063727423,23932785570,35735027948,35094362655,640665293.4,11.87,,2.45,59.941,57.4,58.598,50.00064087,66.8442688,72.73826702,43.7664579,21.71745746,29.2,37.5,31.9,,,,,,554.530675
CMR,2021,Cameroon,Sub-Saharan Africa,Lower middle income,-908709842.8,2.140613269,963531503.5,0.121793604,54821660.69,45011937347,3.338857472,46683197462,2.271857625,2.921039334,2.921039334,-708232628.1,-1578554438,36.73083472,8.962936764,12.43236313,2.648411979,542893984,2.827647719,15.47941459,0.978117313,5.771539956,443336832.6,65.4,0.0733,3.5594,,42.91104483,79.2,1.444815338,12949938357,,,,7.79,,4.38,62.018,58.69,60.333,,,68.89556458,,36.56559909,41,,38.4,18.775,4.434,11.416,3.275,6.428,554.530675
COD,2021,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,-1677673790,3.032206389,1677673790,0.3476667,192358710,55328482784,6.200154011,55167837801,,14.97543455,14.97543455,3939869372,160710271.9,80.48131142,7.44019044,8.261796258,21.74717854,4571126520,2.664847982,,0.542972288,3.428146736,3678782.566,20.8,,2.2757,,55.16149326,96.3,0.526836739,5395726251,,,,0.82,,0.6,61.521,56.953,59.193,,,35.31309699,11.38371356,19.26225806,,,,,,,,,1989.391471
COG,2021,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,330178308,-2.159828737,-320209517.7,0.067239974,9968790.274,14825690211,1.01507037,11841732651,1.715642755,23.29071801,23.29071801,4732192678,3264867178,85.54620316,13.13421235,14.87579742,2.893853245,224655315.6,3.674541952,16.56146387,2.343489627,11.17979783,31355831.49,49.7,,1.2073,,64.21961933,71.4,3.925641821,7590329383,,,,11.51,,2.99,64.935,62.124,63.519,80.61000061,82.36000061,73.97232686,46.07653625,,,,,,,,,,554.530675
COL,2021,Colombia,Latin America & Caribbean,Upper middle income,-6380521503,3.001756938,9561335277,0.998608409,3180813774,3.19E+11,10.80119819,3.43E+11,3.495057574,7.802113095,7.802113095,-13983641290,-20000679159,40.05914639,7.023874248,16.46331622,9.818462798,51111517162,,,3.195886921,9.359358929,118134292.8,100,0.6514,34.5744,0.0185,53.12539585,29.7,4.064929217,1.47E+11,2.17E+11,2.08E+11,9306134184,10.29,,8.09,76.442,69.404,72.83,,99.11000061,97.3938173,73.71989554,70.01302136,7.7,39.7,30.5,15.31,10.687,16.385,13.898,24.612,3744.244167
COM,2021,Comoros,Sub-Saharan Africa,Lower middle income,-4024772.182,0.310531969,4024772.182,,,1296089480,2.000161989,1563901557,,0.169479511,0.169479511,-218021299.7,-287634089.1,42.27772873,19.65691232,1.149763687,1.453592681,1315519.387,2.274853945,1.285686493,,,,87.9,,0.193,,17.45298227,41.2,0.945520146,306940520.6,,,,,,0.27,65.827,61.245,63.417,,,,,,,,,10.969,4.636,7.011,4.394,9.797,415.9558491
CPV,2021,Cabo Verde,Sub-Saharan Africa,Lower middle income,-92093559.17,4.457305001,91456883.26,-0.031029471,-636675.913,2051842610,7.033530107,2662377856,1.862152975,1.349901126,1.349901126,-710764506.8,-652112060.9,77.45505863,25.1415899,26.58763256,1.318713467,545536372.7,6.375858369,15.1129818,0.561428912,1.775255527,11213723.43,95.5,,0.565,,11.41935484,22.6,2.347628661,1982475341,,,,,,2.96,78.457,69.589,74.052,,,89.82515425,,,,,,,,,,,93.21809241
CRI,2021,Costa Rica,Latin America & Caribbean,Upper middle income,-3146180283,5.530729864,3592802258,0.687526147,446621975,64960725734,7.935762247,63940146123,1.726477551,2.374130826,2.374130826,-2844465646,1670105882,70.7816423,20.08778438,16.53797978,1.694648529,1738526336,6.248419762,31.16662255,,,,100,0.144,5.6899,,59.75793184,34.2,3.100086403,27458196442,51051814877,50612429681,439385195.8,16.25,,4.6,79.811,74.418,77.023,98.04000092,99.52999878,99.81186902,80.51168811,85.93699637,1.3,26.2,24.6,7.503,16.15,21.012,15.139,38.796,620.78472
CUB,2021,Cuba,Latin America & Caribbean,Upper middle income,,,,,,,1.253693425,,,401.5911913,401.5911913,,,80.02378499,,33.82647562,14.96293883,,9.385862355,15.96662998,,,,100,0.0317,1.1686,0.0005,31.23314066,20.9,3.492970076,,,,,,,,76.359,71.245,73.683,99.67311096,99.87464905,94.55759874,,93.37178034,,,,,,,,,
CUW,2021,Cura?ao,Latin America & Caribbean,High income,-168108615,6.238579034,170912620.1,0.102350589,2804005.078,2739608156,4.183711931,,,3.759022321,3.759022321,-1139642204,-546455887.9,,52.77054436,,,,,15.27694988,,,,100,,,,0.157657658,2.8,,,,,,,,,,,,,,,,,,,,,,,,,1.79
CYM,2021,Cayman Islands,Latin America & Caribbean,High income,-2108435848,-13.33010379,-807807825.1,-48.12262229,-2916243673,6060026520,4.904929413,,,2.145332162,2.145332162,-683636052.5,1330310600,,80.30479425,,,,1.31253475,,,,,100,,0.1152,,52.75,,5.266160781,,,,,,,,83.7,80.4,82.0097561,,,95.53558282,,,,,,,,,,,0.83333
CYP,2021,Cyprus,Europe & Central Asia,High income,-9268114277,25.43010684,7723854390,-5.084338976,-1544259887,30372874320,11.38776336,28949027432,2.446088672,3.043910697,3.043910697,-5216399944,1139428683,176.8263872,123.6593152,18.55412842,7.528591882,5635414326,5.235859879,12.73629869,1.837924129,4.387989656,54184635.76,100,0.0035,1.9044,,18.66991342,15.6,7.298515382,,,,,4.31,,,83.204,79.209,81.203,99.36000061,99.90000153,99.76513248,99.76513248,,0.9,13.9,9.7,6.306,7.892,8.81,7.513,17.139,0.845494139
CZE,2021,Czechia,Europe & Central Asia,High income,-1345996110,4.430295246,12890950336,3.967694098,11544907218,2.91E+11,4.029018306,2.80E+11,3.839844915,4.034426389,4.034426389,5105397883,10760274186,137.3781163,19.12790182,2.779874599,1.356298634,64379634.49,4.831997687,1.876935339,1.397345793,3.456175797,393563965.5,100,0.159,18.8332,0.0569,34.70669802,17.2,11.74900807,,,,,1.98,,,80.5,74.1,77.22195122,,,99.8807193,97.88292555,,0.1,10.2,6.9,1.359,12.861,2.686,2.803,8.151,21.67816667
DEU,2021,Germany,Europe & Central Asia,High income,96711985272,2.349165282,1.02E+11,4.573353851,1.99E+11,4.35E+12,3.669999862,4.12E+12,3.066666667,2.802929388,2.802929388,2.23E+11,2.25E+11,80.15661805,18.70123899,21.67421922,3.124457367,9.4246E+11,5.454889774,9.661725998,1.321272429,2.593482363,56513126774,100,0.6946,147.2432,0.0649,32.68267552,17.6,9.417374218,,,,,0.87,,,83.3,78.4,80.7902439,,,100,99.91604275,,,14.8,,2.404,7.686,3.097,3.594,6.662,0.845494139
